;title_uk;brand_uk;model_uk;price_uk (gbp);year_uk;kilometrage_uk;fuelType_uk;bodyType_uk;gearBox_uk;link_uk;brand_fr;model_fr;price_fr (eur);year_fr;kilometrage_fr;fuelType_fr;gearBox_fr;link_fr
0;Saab 900 1992 900i 16v 2.0;Saab;900 1992;3400.0;1992;104607.1;;Saloon;Petrol;https://www.autotrader.co.uk/classified/advert/201906159038545;Saab;900 cabriolet;9900.0;1992;132000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/saab-900-cabriolet/i-16-cabriolet-2.0-s/OK2Z0CES.html
1;Saab 900 1992 900i 16v 2.0;Saab;900 1992;3400.0;1992;104607.1;;Saloon;Petrol;https://www.autotrader.co.uk/classified/advert/201906159038545;Saab;900;7500.0;1992;138000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/saab-900/saab-900-t16-bp-138000km/W6K03481.html
4;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Saab;900 cabriolet;9900.0;1992;132000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/saab-900-cabriolet/i-16-cabriolet-2.0-s/OK2Z0CES.html
5;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Saab;900;7500.0;1992;138000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/saab-900/saab-900-t16-bp-138000km/W6K03481.html
39;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;36800.0;2014;77500;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang/ford-mustang-gt-v8-5.0l-2014-premium-automatique/3KGV9SG1.html
40;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;49900.0;2015;68000;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-fastback/rare-mustang-fastback-gt-50-eme-anniversaire/8UKWUOJ4.html
41;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;C-max;18650.0;2016;53962;                                        ESSENCE                                    ;Détail;http://www.leparking.fr//tools/ZC4BBZN4/0/P/PL.html
42;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;C-max;18650.0;2019;6000;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-c-max/117-g-co2-km/5VCJNV84.html
43;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;48500.0;2016;53000;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang/ford-mustang-gt-5-l-v8-kit-roush-custom-malus-inclus/BEHLZIEP.html
44;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;44500.0;2015;54665;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang/mustang-gt-v8-5.0/G5LXXF05.html
45;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;41000.0;2015;62700;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/mustang-gt-v8-5.0-cabriolet/W6F11771.html
46;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;29900.0;2013;87008;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang/gt-5.0l-v8-bvm-coupe/EEEHZD9B.html
47;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;28800.0;2013;78400;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang/gt-5.0l-v8-bvm-cpe/YDD8XBLS.html
48;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;30988.0;2013;113387;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/gt-cabriolet-5.0l/A007610Z.html
49;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;28700.0;2013;133737;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/gt-cabriolet-5.0l/OKKWZ6KS.html
50;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang;28600.0;2013;67600;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang/gt-5.0l-v8-bvm-coupe/IJJUBWJH.html
51;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;31990.0;2013;74766;ESSENCE;MANUELLE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/gt-cabriolet-5.0l/NBBGKNIK.html
52;Opel GT 2.0 litre 2 door coupe;Opel;GT 2.0;9450.0;2001;40233.5;;Coupe;Petrol;https://www.autotrader.co.uk/classified/advert/201905168013765;Ford;Mustang cabriolet;30592.0;2014;92984;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/ford-mustang-cabriolet/gt-cabriolet-5.0l/7LJYNOC9.html
